Date,Target_x,TArget_y,Target_z,camRotation_x,camRotation_y,camRotation_z
0,-9.16, 54.89, 29.03,353.20, 341.06, 0.00,
1,-9.16, 54.53, 29.03,353.35, 341.06, 0.00,
2,-9.16, 54.51, 29.03,353.45, 341.06, 0.00,
3,-9.16, 54.49, 29.03,353.60, 341.06, 0.00,
4,-9.16, 54.47, 29.03,353.70, 341.06, 0.00,
5,-9.16, 54.45, 29.03,353.85, 341.06, 0.00,
6,-9.16, 54.44, 29.03,353.90, 341.06, 0.00,
7,-9.16, 54.42, 29.03,354.05, 341.06, 0.00,
8,-9.16, 54.41, 29.03,354.10, 341.06, 0.00,
9,-9.16, 54.40, 29.03,354.20, 341.06, 0.00,
10,-9.16, 54.38, 29.03,354.35, 341.06, 0.00,
11,-9.16, 54.37, 29.03,354.40, 341.06, 0.00,
12,-9.16, 54.36, 29.03,354.50, 341.06, 0.00,
13,-9.16, 54.34, 29.03,354.65, 341.06, 0.00,
14,-9.16, 54.33, 29.03,354.70, 341.06, 0.00,
15,-9.16, 54.31, 29.03,354.85, 341.06, 0.00,
16,-9.16, 54.30, 29.03,354.90, 341.06, 0.00,
17,-9.16, 54.28, 29.03,355.05, 341.06, 0.00,
18,-9.16, 54.27, 29.03,355.10, 341.06, 0.00,
19,-9.16, 54.25, 29.03,355.20, 341.06, 0.00,
20,-9.16, 54.24, 29.03,355.30, 341.06, 0.00,
21,-9.16, 54.21, 29.03,355.40, 341.06, 0.00,
22,-9.16, 54.19, 29.03,355.55, 341.06, 0.00,
23,-9.16, 54.18, 29.03,355.60, 341.06, 0.00,
24,-9.16, 54.17, 29.03,355.70, 341.06, 0.00,
25,-9.16, 54.15, 29.03,355.75, 341.11, 0.00,
26,-9.16, 54.14, 29.03,355.85, 341.11, 0.00,
27,-9.16, 54.12, 29.03,355.90, 341.11, 0.00,
28,-9.16, 54.11, 29.03,356.00, 341.11, 0.00,
29,-9.16, 54.09, 29.03,356.10, 341.11, 0.00,
30,-9.16, 54.08, 29.03,356.10, 341.11, 0.00,
31,-9.16, 54.06, 29.03,356.20, 341.16, 0.00,
32,-9.16, 54.05, 29.03,356.25, 341.16, 0.00,
33,-9.16, 54.03, 29.03,356.35, 341.16, 0.00,
34,-9.16, 54.02, 29.03,356.40, 341.16, 0.00,
35,-9.16, 54.00, 29.03,356.60, 341.21, 0.00,
36,-9.16, 53.97, 29.03,356.70, 341.21, 0.00,
