Date,Target_x,TArget_y,Target_z,camRotation_x,camRotation_y,camRotation_z,DegreeError
0,1.00, 50.00, 9.00,0.00, 352.11, 0.00,NaN,
1,0.80, 50.20, 9.00,0.00, 352.11, 0.00,0.232759971629265,
2,0.60, 50.40, 9.00,35.25, 333.66, 0.00,50.4751537363202,
3,-2.73, 53.73, 9.00,35.25, 333.66, 0.00,46.8810535049708,
4,-3.02, 54.02, 9.00,35.25, 333.66, 0.00,46.5978756312431,
5,-3.13, 54.13, 9.00,35.25, 333.66, 0.00,46.4810441129212,
6,-3.18, 54.18, 9.00,35.25, 333.66, 0.00,46.4298437571681,
7,-3.21, 54.21, 9.00,35.25, 333.66, 0.00,46.4089618680309,
8,-3.22, 54.22, 9.00,35.25, 333.66, 0.00,46.3907202787483,
9,-3.24, 54.24, 9.00,35.25, 333.66, 0.00,46.3766832407677,
10,-3.25, 54.25, 9.00,35.25, 333.66, 0.00,46.3618584847618,
11,-3.28, 54.28, 9.00,35.25, 333.66, 0.00,46.3319150183509,
12,-3.32, 54.32, 9.00,35.10, 333.66, 0.00,46.0068169727735,
13,-3.36, 54.36, 9.00,35.10, 333.66, 0.00,45.9708787125562,
14,-3.38, 54.38, 9.00,35.10, 333.66, 0.00,45.952677214956,
15,-3.40, 54.40, 9.00,35.05, 333.66, 0.00,45.8338808127803,
16,-3.43, 54.43, 9.00,34.95, 333.66, 0.00,45.6135166960042,
17,-3.47, 54.47, 9.00,34.95, 333.66, 0.00,45.5810140744695,
18,-3.49, 54.49, 9.00,34.90, 333.66, 0.00,45.4628542215265,
19,-3.53, 54.53, 9.00,34.80, 333.66, 0.00,45.2420244091849,
20,-3.56, 54.56, 9.00,34.80, 333.66, 0.00,45.2134349186712,
21,-3.58, 54.58, 9.00,34.80, 333.66, 0.00,45.1872988625906,
22,-3.62, 54.62, 9.00,34.75, 333.66, 0.00,45.059679212872,
23,-3.65, 54.65, 9.00,34.65, 333.66, 0.00,44.8439545684795,
24,-3.68, 54.68, 9.00,34.65, 333.66, 0.00,44.8152094636055,
25,-3.71, 54.71, 9.00,34.60, 333.61, 0.00,44.7771359711756,
26,-3.74, 54.74, 9.00,34.50, 333.61, 0.00,44.5585091054673,
27,-3.76, 54.76, 9.00,34.45, 333.61, 0.00,44.4441650175095,
28,-3.79, 54.79, 9.00,34.45, 333.56, 0.00,44.4967938044257,
29,-3.83, 54.83, 9.00,34.35, 333.56, 0.00,44.2804189524311,
30,-3.86, 54.86, 9.00,34.30, 333.56, 0.00,44.164024843104,
31,-3.89, 54.89, 9.00,34.20, 333.56, 0.00,43.9538807315248,
32,-3.91, 54.91, 9.00,34.00, 333.46, 0.00,43.731118658859,
33,-3.96, 54.96, 9.00,34.00, 333.41, 0.00,43.7706127867481,
34,-3.97, 54.97, 9.00,33.85, 333.41, 0.00,43.4883583540588,
35,-4.01, 55.01, 9.00,33.70, 333.31, 0.00,43.3523431149506,
36,-3.98, 55.01, 9.00,33.25, 333.16, 0.00,42.8431636826,
37,-3.88, 55.01, 9.00,33.15, 333.16, 0.00,42.7793511839376,
38,-3.86, 55.01, 9.00,33.00, 333.11, 0.00,42.6232296981107,
39,-3.84, 55.01, 9.00,32.85, 333.11, 0.00,42.3955930273829,
40,-3.82, 55.01, 9.00,32.80, 333.01, 0.00,42.491617764942,
41,-3.80, 55.01, 9.00,32.55, 332.96, 0.00,42.1728765879689,
42,-3.78, 55.01, 9.00,32.35, 332.96, 0.00,41.870227134484,
43,-3.75, 55.01, 9.00,32.10, 332.81, 0.00,41.7374195173247,
44,-3.72, 55.01, 9.00,31.90, 332.81, 0.00,41.4479797343924,
45,-3.69, 55.01, 9.00,31.75, 332.66, 0.00,41.476209930657,
46,-3.66, 55.01, 9.00,31.50, 332.66, 0.00,41.1199377539668,
47,-3.63, 55.01, 9.00,31.35, 332.56, 0.00,41.0705089445963,
48,-3.60, 55.01, 9.00,31.20, 332.51, 0.00,40.9533750895765,
